2016-02-15 14:34:25,409 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=a7f0dcc3-b785-4dd0-b92c-2cabc34535eb
2016-02-15 14:34:26,529 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\PhotonSample\deploy\Workload.config. Using default settings... (Could not find file 'D:\PhotonSample\deploy\Workload.config'.)
2016-02-15 14:34:26,542 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonSample\deploy\ServerState.txt
2016-02-15 14:34:26,548 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2016-02-15 14:34:26,554 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2016-02-15 14:34:26,585 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=a7f0dcc3-b785-4dd0-b92c-2cabc34535eb
2016-02-15 14:34:26,609 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=GameServer; AppPath=D:\PhotonSample\deploy\GameServer, Type=Chat.GameServer.ChatGameApplication 
2016-02-15 14:34:29,479 [9] ERROR Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:34:44,500 [8] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=a7f0dcc3-b785-4dd0-b92c-2cabc34535eb
2016-02-15 14:34:45,502 [12] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:35:55,630 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=3a0d9cce-eab4-4d0b-abd2-3668b45528d5
2016-02-15 14:35:55,718 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - User has no Admin rights. HttpQueuePerformanceCounters initialization skipped
2016-02-15 14:35:55,725 [1] WARN  Photon.LoadBalancing.GameServer.GameApplication - AuthTokenKey not specified in config. Authentication tokens are not supported
2016-02-15 14:35:56,274 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2016-02-15 14:35:56,279 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2016-02-15 14:35:56,283 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2016-02-15 14:35:56,286 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2016-02-15 14:35:56,289 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2016-02-15 14:35:56,294 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2016-02-15 14:35:56,297 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2016-02-15 14:35:56,300 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2016-02-15 14:35:56,304 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2016-02-15 14:35:56,307 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2016-02-15 14:35:56,311 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2016-02-15 14:35:56,315 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2016-02-15 14:35:56,318 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2016-02-15 14:35:56,321 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2016-02-15 14:37:10,217 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=8c58e9cb-1faa-4da9-9725-6f885cd75270
2016-02-15 14:37:10,302 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - User has no Admin rights. HttpQueuePerformanceCounters initialization skipped
2016-02-15 14:37:10,308 [1] WARN  Photon.LoadBalancing.GameServer.GameApplication - AuthTokenKey not specified in config. Authentication tokens are not supported
2016-02-15 14:37:10,820 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2016-02-15 14:37:10,823 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2016-02-15 14:37:10,826 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2016-02-15 14:37:10,830 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2016-02-15 14:37:10,834 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2016-02-15 14:37:10,837 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2016-02-15 14:37:10,840 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2016-02-15 14:37:10,843 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2016-02-15 14:37:10,846 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2016-02-15 14:37:10,850 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2016-02-15 14:37:10,853 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2016-02-15 14:37:10,856 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2016-02-15 14:37:10,860 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2016-02-15 14:37:10,864 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2016-02-15 14:37:27,243 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\PhotonSample\deploy\Workload.config. Using default settings... (Could not find file 'D:\PhotonSample\deploy\Workload.config'.)
2016-02-15 14:37:27,258 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonSample\deploy\ServerState.txt
2016-02-15 14:37:27,263 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2016-02-15 14:37:27,268 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2016-02-15 14:37:27,281 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=8c58e9cb-1faa-4da9-9725-6f885cd75270
2016-02-15 14:37:27,302 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=GameServer; AppPath=D:\PhotonSample\deploy\GameServer, Type=Chat.GameServer.ChatGameApplication 
2016-02-15 14:37:28,291 [10] ERROR Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:38:11,923 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=9ae0c6bf-a90c-47cb-a831-bae2d3804c0b
2016-02-15 14:38:12,014 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - User has no Admin rights. HttpQueuePerformanceCounters initialization skipped
2016-02-15 14:38:12,023 [1] WARN  Photon.LoadBalancing.GameServer.GameApplication - AuthTokenKey not specified in config. Authentication tokens are not supported
2016-02-15 14:38:12,551 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2016-02-15 14:38:12,555 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2016-02-15 14:38:12,559 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2016-02-15 14:38:12,562 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2016-02-15 14:38:12,565 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2016-02-15 14:38:12,570 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2016-02-15 14:38:12,573 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2016-02-15 14:38:12,577 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2016-02-15 14:38:12,580 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2016-02-15 14:38:12,584 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2016-02-15 14:38:12,589 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2016-02-15 14:38:12,592 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2016-02-15 14:38:12,596 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2016-02-15 14:38:12,599 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2016-02-15 14:38:12,620 [1] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Initialized FeedbackControlSystem with 2 controllers from config file.
2016-02-15 14:38:12,631 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonSample\deploy\ServerState.txt
2016-02-15 14:38:12,637 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2016-02-15 14:38:12,643 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2016-02-15 14:38:12,663 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=9ae0c6bf-a90c-47cb-a831-bae2d3804c0b
2016-02-15 14:38:12,686 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=GameServer; AppPath=D:\PhotonSample\deploy\GameServer, Type=Chat.GameServer.ChatGameApplication 
2016-02-15 14:38:13,676 [10] ERROR Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:38:28,687 [12] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=9ae0c6bf-a90c-47cb-a831-bae2d3804c0b
2016-02-15 14:38:29,687 [11] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:53:27,629 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:53:27,730 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - User has no Admin rights. HttpQueuePerformanceCounters initialization skipped
2016-02-15 14:53:27,739 [1] WARN  Photon.LoadBalancing.GameServer.GameApplication - AuthTokenKey not specified in config. Authentication tokens are not supported
2016-02-15 14:53:28,192 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2016-02-15 14:53:28,196 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2016-02-15 14:53:28,199 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2016-02-15 14:53:28,204 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2016-02-15 14:53:28,207 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2016-02-15 14:53:28,210 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2016-02-15 14:53:28,213 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2016-02-15 14:53:28,217 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2016-02-15 14:53:28,221 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2016-02-15 14:53:28,224 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2016-02-15 14:53:28,227 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2016-02-15 14:53:28,230 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2016-02-15 14:53:28,235 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2016-02-15 14:53:28,238 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2016-02-15 14:53:28,252 [1] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Initialized FeedbackControlSystem with 2 controllers from config file.
2016-02-15 14:53:28,263 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonSample\deploy\ServerState.txt
2016-02-15 14:53:28,269 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2016-02-15 14:53:28,273 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2016-02-15 14:53:28,292 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:53:28,314 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=GameServer; AppPath=D:\PhotonSample\deploy\GameServer, Type=Chat.GameServer.ChatGameApplication 
2016-02-15 14:53:29,304 [10] ERROR Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:53:44,312 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:53:45,314 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:54:00,327 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:54:01,328 [13] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:54:16,342 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:54:17,348 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:54:32,365 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:54:33,367 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:54:48,379 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:54:49,379 [13] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:55:04,398 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:55:05,403 [11] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:55:20,418 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:55:21,419 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:55:36,438 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:55:37,440 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:55:52,452 [12] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17153bbe-77c7-4675-b656-c079a01719aa
2016-02-15 14:55:53,454 [11] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:56:46,377 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:56:47,425 [1] INFO  Photon.SocketServer.Diagnostics.PerfCounterManagerBase - PerformanceCounter category 'Photon: Http Queue Counters' does not exists and will be created
2016-02-15 14:56:47,575 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2016-02-15 14:56:47,581 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2016-02-15 14:56:47,586 [1] WARN  Photon.LoadBalancing.GameServer.GameApplication - AuthTokenKey not specified in config. Authentication tokens are not supported
2016-02-15 14:56:48,014 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2016-02-15 14:56:48,018 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2016-02-15 14:56:48,021 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2016-02-15 14:56:48,024 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2016-02-15 14:56:48,027 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2016-02-15 14:56:48,032 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2016-02-15 14:56:48,036 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2016-02-15 14:56:48,039 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2016-02-15 14:56:48,042 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2016-02-15 14:56:48,046 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2016-02-15 14:56:48,049 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2016-02-15 14:56:48,053 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2016-02-15 14:56:48,056 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2016-02-15 14:56:48,059 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2016-02-15 14:56:48,074 [1] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Initialized FeedbackControlSystem with 2 controllers from config file.
2016-02-15 14:56:48,085 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonSample\deploy\ServerState.txt
2016-02-15 14:56:48,091 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2016-02-15 14:56:48,095 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2016-02-15 14:56:48,108 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:56:48,130 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=GameServer; AppPath=D:\PhotonSample\deploy\GameServer, Type=Chat.GameServer.ChatGameApplication 
2016-02-15 14:56:49,113 [11] ERROR Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:57:04,130 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:57:05,132 [13] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:57:20,153 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:57:21,156 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:57:36,176 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:57:37,176 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:57:52,185 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:57:53,186 [10] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:58:08,207 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:58:09,208 [11] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:58:24,216 [12] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:58:25,218 [15] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:58:40,231 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
2016-02-15 14:58:41,232 [15] WARN  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection failed: address=127.0.0.1:4520, errorCode=1225, msg=The remote computer refused the network connection.
2016-02-15 14:58:56,247 [11] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b0ce803a-bc08-429e-b787-fa01b7212b8b
